CODIGO;DESCRICAO
0101;OFICIAIS GENERAIS DAS FORÇAS ARMADAS
0102;OFICIAIS DAS FORÇAS ARMADAS
0103;PRAÇAS DAS FORÇAS ARMADAS
0201;OFICIAIS SUPERIORES DA POLÍCIA MILITAR
0202;CAPITÃES DA POLÍCIA MILITAR
0203;TENENTES DA POLÍCIA MILITAR
0211;SUBTENENTES E SARGENTOS DA POLICIA MILITAR
0212;CABOS E SOLDADOS DA POLÍCIA MILITAR
0301;OFICIAIS SUPERIORES DO CORPO DE BOMBEIROS MILITAR
0302;OFICIAIS INTERMEDIÁRIOS DO CORPO DE BOMBEIROS MILITAR
0303;TENENTES DO CORPO DE BOMBEIROS MILITAR
0311;SUBTENENTES E SARGENTOS DO CORPO DE BOMBEIROS MILITAR
0312;CABOS E SOLDADOS DO CORPO DE BOMBEIROS MILITAR
1111;LEGISLADORES
1112;DIRIGENTES GERAIS DA ADMINISTRAÇÃO PÚBLICA
1113;MAGISTRADOS
1114;DIRIGENTES DO SERVIÇO PÚBLICO
1115;GESTORES PÚBLICOS
1130;DIRIGENTES DE POVOS INDÍGENAS, DE QUILOMBOLAS E CAIÇARAS
1141;DIRIGENTES DE PARTIDOS POLÍTICOS
1142;DIRIGENTES E ADMINISTRADORES DE ENTIDADES PATRONAIS E DOS TRABALHADORES E DE OUTROS
1143;DIRIGENTES E ADMINISTRADORES DE ENTIDADES RELIGIOSAS
1144;DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÕES DA SOCIEDADE CIVIL SEM FINS LUCRATIVOS
1210;DIRETORES GERAIS
1221;DIRETORES DE PRODUÇÃO E OPERAÇÕES EM EMPRESA AGROPECUÁRIA, PESQUEIRA , AQÜÍCOLA E FLORE
1222;DIRETORES DE PRODUÇÃO E OPERAÇÕES EM EMPRESA DA INDÚSTRIA EXTRATIVA, TRANSFORMAÇÃO E DE
1223;DIRETORES DE OPERAÇÕES DE OBRAS EM EMPRESA DE CONSTRUÇÃO
1224;DIRETORES DE OPERAÇÕES EM EMPRESA DO COMÉRCIO
1225;DIRETORES DE SERVIÇOS DE TURISMO, DE ALOJAMENTO E DE ALIMENTAÇÃO
