Nº DCB ;DENOMINAÇÃO COMUM BRASILEIRA;Nº CAS
00001;abacavir;136470-78-5
00003;abamectina;65195-55-3
00004;abanoquila;90402-40-7
00006;abaperidona;183849-43-6
00007;abarrelix;183552-38-7
09580;abatacepte;332348-12-6
00008;abciximabe;143653-53-6
00009;abecarnila;111841-85-1
00010;abétimo;167362-48-3
10084;Abies canadensis;[Ref. 8]
10085;Abies nigra ;[Ref. 8]
10008;abiraterona;154229-19-3
00011;ablucaste;96566-25-5
00012;abrineurina;178535-93-8
00013;abunidasol;91017-58-2
00014;acadesina;2627-69-2
00015;acamprosato;77337-76-9
00016;acaprazina;55485-20-6
00017;acarbose;56180-94-0
00018;acebrocol;514-50-1
00019;acebrofilina;179118-73-1
00020;acebutolol;37517-30-9
00022;acecainida;32795-44-1
00024;acecarbromal;77-66-7
00025;aceclidina;827-61-2
00027;aceclofenaco;89796-99-6
00028;acedapsona;77-46-3
00029;acediassulfona sódica;127-60-6
00030;acedobeno;556-08-1
00031;acefilina;652-37-9
00032;acefilina clofibrol;70788-27-1
00033;acefilina piperazina;18833-13-1
04614;acefilinato de heptaminol;5152-72-7
00034;acefluranol;80595-73-9
02818;acefurato de dexametasona;83880-70-0
00035;acefurtiamina;10072-48-7
00036;aceglatona;642-83-1
00037;aceglumato de deanol;3342-61-8
00038;aceglutamida;2490-97-3
00039;acemanana;110042-95-0
00040;acemetacina;53164-05-9
00041;acenocumarol;152-72-7
00042;aceperona;807-31-8
04665;aceponato de hidrocortisona;74050-20-7
05813;aceponato de metilprednisolona;86401-95-8
00044;acepromazina;61-00-7
00046;aceprometazina;13461-01-3
00047;acequinolina;42465-20-3
00048;acessulfamo;33665-90-6
10933;acessulfamo potássico;55589-62-3
00049;acetaminossalol;118-57-0
00050;acetanilida ;103-84-4
00051;acetarsol;97-44-9
00052;acetarsol sódico;55588-51-7
00053;acetato básico de zinco;82279-57-0
09769;acetato cúprico (64 Cu);24381-58-6
10009;acetato de abiraterona;154229-18-2
00504;acetato de alfadolona;23930-37-2
