"CFOP";"Descrição Resumida"
1.101;"Compra p/ industrialização ou produção rural"
1.102;"Compra p/ comercialização"
1.111;"Compra p/ industrialização de mercadoria recebida anteriormente em consignação industrial"
1.113;"Compra p/ comercialização, de mercadoria recebida anteriormente em consignação mercantil"
1.116;"Compra p/ industrialização ou produção rural originada de encomenda p/ recebimento futuro"
1.117;"Compra p/ comercialização originada de encomenda p/ recebimento futuro"
1.118;"Compra de mercadoria p/ comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem."
1.120;"Compra p/ industrialização, em venda à ordem, já recebida do vendedor remetente"
1.121;"Compra p/ comercialização, em venda à ordem, já recebida do vendedor remetente"
1.122;"Compra p/ industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente"
1.124;"Industrialização efetuada por outra empresa"
1.125;"Industrialização efetuada por outra empresa quando a mercadoria remetida p/ utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria"
1.126;"Compra p/ utilização na prestação de serviço sujeita ao ICMS"
1.128;"Compra p/ utilização na prestação de serviço sujeita ao ISSQN"
1.151;"Transferência p/ industrialização ou produção rural"
1.152;"Transferência p/ comercialização"
1.153;"Transferência de energia elétrica p/ distribuição"
1.154;"Transferência p/ utilização na prestação de serviço"
1.201;"Devolução de venda de produção do estabelecimento "
1.202;"Devolução de venda de mercadoria adquirida ou recebida de terceiros"
1.203;"Devolução de venda de produção do estabelecimento, destinada à ZFM ou ALC"
1.204;"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à ZFM ou ALC"
1.205;"Anulação de valor relativo à prestação de serviço de comunicação"
1.206;"Anulação de valor relativo à prestação de serviço de transporte"
1.207;"Anulação de valor relativo à venda de energia elétrica"
1.208;"Devolução de produção do estabelecimento, remetida em transferência"
1.209;"Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência"
1.212;"Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
1.251;"Compra de energia elétrica p/ distribuição ou comercialização"
1.252;"Compra de energia elétrica por estabelecimento industrial"
1.253;"Compra de energia elétrica por estabelecimento comercial"
1.254;"Compra de energia elétrica por estabelecimento prestador de serviço de transporte"
1.255;"Compra de energia elétrica por estabelecimento prestador de serviço de comunicação"
1.256;"Compra de energia elétrica por estabelecimento de produtor rural"
1.257;"Compra de energia elétrica p/ consumo por demanda contratada"
1.301;"Aquisição de serviço de comunicação p/ execução de serviço da mesma natureza"
1.302;"Aquisição de serviço de comunicação por estabelecimento industrial"
1.303;"Aquisição de serviço de comunicação por estabelecimento comercial"
1.304;"Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte"
1.305;"Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica"
1.306;"Aquisição de serviço de comunicação por estabelecimento de produtor rural"
1.351;"Aquisição de serviço de transporte p/ execução de serviço da mesma natureza"
1.352;"Aquisição de serviço de transporte por estabelecimento industrial"
1.353;"Aquisição de serviço de transporte por estabelecimento comercial"
1.354;"Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação"
