Código;Descricao;;;;;;
90018338;CEFALOTINA SÓDICA;;;;;;
90018370;CEFAZOLINA SÓDICA;;;;;;
90018419;CEFOTAXIMA SÓDICA;;;;;;
90018710;CLORIDRATO DE CIPROFLOXACINO;;;;;;
90018290;CEFALEXINA;;;;;;
90018257;CEFALEXINA;;;;;;
90018273;CEFALEXINA;;;;;;
90018478;CEFTAZIDIMA;;;;;;
90018575;CEFUROXIMA SÓDICA;;;;;;
90018516;CEFTRIAXONA SÓDICA;;;;;;
90018621;CLORIDRATO DE CEFEPIMA;;;;;;
90018648;CLORIDRATO DE CEFEPIMA;;;;;;
90018745;CLORIDRATO DE METFORMINA;;;;;;
90018761;CLORIDRATO DE METFORMINA;;;;;;
90017986;AMPICILINA SÓDICA;;;;;;
90017994;AMPICILINA SÓDICA;;;;;;
90018915;OXACILINA SÓDICA;;;;;;
90018176;BROMIDRATO DE CITALOPRAM;;;;;;
90017927;AMPICILINA SÓDICA + SULBACTAM SÓDICO;;;;;;
90017943;AMPICILINA SÓDICA + SULBACTAM SÓDICO;;;;;;
90018931;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90018940;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90017889;AMOXICILINA;;;;;;
90017900;AMOXICILINA;;;;;;
90017854;AMOXICILINA + CLAVULANATO DE POTÁSSIO;;;;;;
90018826;CLORIDRATO DE SERTRALINA;;;;;;
90018850;LISINOPRIL;;;;;;
90018877;LISINOPRIL;;;;;;
90018222;CEFADROXILA;;;;;;
90018230;CEFADROXILA;;;;;;
90018010;ATENOLOL;;;;;;
90018036;ATENOLOL;;;;;;
90018052;ATENOLOL;;;;;;
90018133;BESILATO DE ANLODIPINO;;;;;;
90018150;BESILATO DE ANLODIPINO;;;;;;
90018842;FINASTERIDA;;;;;;
90018800;CLORIDRATO DE PAROXETINA;;;;;;
90018206;CAPTOPRIL;;;;;;
90215931;MIRTAZAPINA;;;;;;
90215940;MIRTAZAPINA;;;;;;
90215958;MIRTAZAPINA;;;;;;
90215966;MIRTAZAPINA;;;;;;
90215974;MIRTAZAPINA;;;;;;
90215982;MIRTAZAPINA;;;;;;
90216016;AXETILCEFUROXIMA;;;;;;
90216024;AXETILCEFUROXIMA;;;;;;
90216032;CLORIDRATO DE CEFEPIME;;;;;;
90216040;CLORIDRATO DE CEFEPIME;;;;;;
90216059;CLORIDRATO DE CEFEPIME;;;;;;
90216067;CLORIDRATO DE CEFEPIME;;;;;;
90278909;ATENOLOL;;;;;;
90278917;ATENOLOL;;;;;;
90278925;ATENOLOL;;;;;;
90278933;ATENOLOL;;;;;;
90278941;ATENOLOL;;;;;;
90278950;ATENOLOL;;;;;;
90278810;AMPICILINA SÓDICA;;;;;;
90278801;CEFUROXIMA SÓDICA;;;;;;
90278852;CEFADROXILA;;;;;;
90278860;CEFADROXILA;;;;;;
90278828;BROMIDRATO DE CITALOPRAM;;;;;;
90278836;BROMIDRATO DE CITALOPRAM;;;;;;
90278844;BROMIDRATO DE CITALOPRAM;;;;;;
90278992;AXETILCEFUROXIMA;;;;;;
90279000;AXETILCEFUROXIMA;;;;;;
90279018;AXETILCEFUROXIMA;;;;;;
90278879;CLORIDRATO DE SERTRALINA;;;;;;
90278887;CLORIDRATO DE SERTRALINA;;;;;;
90278895;CLORIDRATO DE SERTRALINA;;;;;;
90292073;FINASTERIDA;;;;;;
90292081;FINASTERIDA;;;;;;
90292090;FINASTERIDA;;;;;;
90290259;CLORIDRATO DE METFORMINA;;;;;;
90290267;CLORIDRATO DE METFORMINA;;;;;;
90290275;CLORIDRATO DE METFORMINA;;;;;;
90290283;CLORIDRATO DE METFORMINA;;;;;;
90290291;CLORIDRATO DE METFORMINA;;;;;;
90290305;CLORIDRATO DE METFORMINA;;;;;;
90295919;AMOXICILINA;;;;;;
90295927;AMOXICILINA;;;;;;
90295935;CLORIDRATO DE FLUOXETINA;;;;;;
