Código;Grupo
001;ANATOMIA PATOLÓGICA E CITOPATOLOGIA
002;ANESTESIAS
003;DIAGNÓSTICO POR IMAGEM - OUTROS
004;DIAGNÓSTICO POR IMAGEM - RX
005;ENDOSCOPIA DIAGNÓSTICA
006;ENDOSCOPIA INTERVENCIONISTA
007;EXAMES RADIOLÓGICOS EM ODONTOLOGIA
008;GENÉTICA
009;MEDICINA LABORATORIAL
010;MEDICINA NUCLEAR
011;MEDICINA TRANSFUCIONAL
012;MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM
013;OUTROS EXAMES E PROCEDIMENTOS
014;PROCEDIMENTOS DE ASSISTÊNCIA SOCIAL
015;PROCEDIMENTOS DE ENFERMAGEM
016;PROCEDIMENTOS DE FONOAUDIOLOGIA
017;PROCEDIMENTOS DE NUTRIÇÃO
018;PROCEDIMENTOS EM FISIOTERAPIA
019;PROCEDIMENTOS EM PSICOTERAPIA
020;PROCEDIMENTOS EM TERAPIA OCUPACIONAL
021;RADIOTERAPIA MEGAVOLTAGEM
022;RADIOTERAPIA OUTRAS TÉCNICAS
023;RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA
024;RESSONÂNCIA MAGNÉTICA INTERVENCIONISTA
025;TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA
026;TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA
027;ULTRA-SONOGRAFIA DIAGNÓSTICA
028;ULTRA-SONOGRAFIA INTERVENCIONISTA
029;MATERIAIS E OPME
030;MEDICAMENTOS
031;DIÁRIAS, TAXAS E GASES MEDICINAIS
